alert_type,urgency,hour,weekday,nearby_reports,recent_reports,rain_probability,risk_level
Tránsito,Media,19,4,6,2,0.2,2
Tránsito,Baja,23,2,5,1,0.1,1
Seguridad,Baja,23,1,2,1,0.57,1
Bache,Alta,23,1,1,2,0.39,1
Bache,Media,16,3,8,1,0.77,2
Seguridad,Baja,3,1,0,2,0.18,0
Iluminación,Media,13,5,0,2,0.25,1
Tránsito,Baja,12,1,5,1,0.3,1
Residuos,Baja,1,5,3,6,0.31,1
Bache,Baja,0,6,3,4,0.95,2
Residuos,Media,14,6,5,0,0.48,1
Tránsito,Baja,16,5,4,5,0.24,2
Bache,Media,5,2,5,1,0.88,2
Bache,Baja,19,5,4,5,0.13,2
Seguridad,Alta,13,0,5,5,0.89,2
Residuos,Alta,1,2,6,4,0.55,2
Bache,Media,19,3,8,2,0.59,2
Tránsito,Media,19,3,4,2,0.71,2
Bache,Media,5,0,2,4,0.86,2
Iluminación,Alta,15,4,0,4,0.03,2
Residuos,Baja,4,6,1,0,0.44,0
Incendio,Alta,17,0,6,0,0.36,2
Tránsito,Media,2,5,8,1,0.49,2
Bache,Media,15,1,1,3,0.15,1
Tránsito,Media,3,1,5,5,0.73,2
Seguridad,Baja,22,0,8,1,0.52,1
Residuos,Baja,20,0,4,5,0.8,2
Residuos,Baja,7,4,3,1,0.55,1
Iluminación,Alta,0,0,1,4,0.8,2
Residuos,Baja,11,0,5,0,0.07,1
Seguridad,Baja,16,0,3,2,0.84,1
Residuos,Baja,16,5,2,5,0.82,1
Tránsito,Baja,17,0,8,4,0.12,2
Tránsito,Media,4,6,4,1,0.4,2
Bache,Baja,13,0,4,5,0.71,2
Bache,Alta,21,1,0,2,0.8,2
Bache,Alta,16,2,6,3,0.65,2
Tránsito,Media,6,5,8,6,0.61,2
Seguridad,Baja,13,0,2,4,0.06,1
Iluminación,Media,16,6,6,5,0.44,2
Iluminación,Baja,21,5,1,0,0.22,0
Tránsito,Alta,12,3,7,6,0.97,2
Iluminación,Alta,5,1,4,3,0.54,2
Seguridad,Baja,9,2,7,0,0.28,2
Residuos,Alta,13,3,8,6,0.64,2
Seguridad,Media,13,0,4,6,0.65,2
Bache,Media,9,5,5,2,0.48,2
Residuos,Alta,3,2,3,1,0.93,1
Tránsito,Alta,15,0,2,3,0.56,2
Seguridad,Alta,9,1,7,2,0.73,2
Tránsito,Media,19,4,4,2,0.0,2
Residuos,Media,19,5,2,6,0.49,2
Iluminación,Alta,11,6,8,4,0.46,2
Bache,Alta,19,4,3,5,0.71,2
Bache,Media,17,1,0,2,0.18,1
Iluminación,Baja,5,6,1,6,0.77,1
Iluminación,Baja,14,0,1,1,0.19,0
Residuos,Media,21,1,1,6,0.6,1
Tránsito,Baja,4,2,8,2,0.22,2
Iluminación,Baja,0,1,5,4,0.27,2
Iluminación,Media,12,1,7,2,0.5,2
Tránsito,Baja,1,0,0,2,0.75,1
Tránsito,Baja,14,6,5,4,0.36,2
Incendio,Media,16,6,0,2,0.84,1
Incendio,Alta,5,6,5,1,0.44,2
Seguridad,Alta,5,1,4,0,0.27,2
Seguridad,Baja,7,4,8,4,0.9,2
Seguridad,Alta,5,1,7,2,0.89,2
Iluminación,Alta,6,6,8,0,0.36,2
Tránsito,Baja,22,3,6,2,0.75,2
Seguridad,Media,20,0,2,2,0.84,2
Bache,Alta,19,6,8,2,0.54,2
Incendio,Baja,8,4,3,5,0.06,2
Incendio,Baja,23,4,1,0,0.89,0
Tránsito,Alta,13,1,8,3,0.67,2
Incendio,Alta,21,5,6,4,0.48,2
Iluminación,Media,19,0,8,3,0.49,2
Bache,Alta,5,5,0,2,0.36,1
Seguridad,Media,14,5,2,0,0.49,1
Residuos,Baja,11,4,6,6,0.22,2
Seguridad,Baja,23,5,1,1,0.69,0
Tránsito,Media,12,4,7,5,0.01,2
Residuos,Media,15,2,2,0,0.26,0
Tránsito,Media,7,4,2,4,0.08,2
Iluminación,Baja,5,0,1,4,0.26,1
Seguridad,Media,21,0,6,2,0.54,2
Tránsito,Baja,1,1,0,6,0.44,1
Bache,Baja,0,4,0,0,0.28,0
Tránsito,Baja,20,0,8,1,0.14,2
Tránsito,Alta,18,2,8,2,0.78,2
Iluminación,Alta,14,6,4,4,0.12,2
Seguridad,Baja,9,4,0,6,0.73,1
Bache,Baja,2,4,8,2,0.4,1
Seguridad,Alta,18,2,7,0,0.97,2
Residuos,Media,0,3,6,4,0.15,2
Residuos,Media,8,6,3,6,0.36,2
Seguridad,Baja,9,4,4,5,0.16,2
Seguridad,Alta,15,5,2,0,0.4,1
Bache,Baja,6,2,0,6,0.75,2
Residuos,Baja,1,3,6,4,0.78,2
Bache,Alta,22,0,7,4,0.74,2
Tránsito,Alta,8,6,2,2,0.56,2
Iluminación,Media,14,2,0,6,0.8,1
Incendio,Media,9,5,3,4,0.97,2
Incendio,Media,21,1,4,6,0.79,2
Incendio,Media,4,5,5,4,0.3,2
Bache,Baja,20,5,8,5,0.24,2
Iluminación,Alta,15,2,6,2,0.12,2
Iluminación,Alta,9,1,3,2,0.58,2
Seguridad,Media,16,1,6,5,0.64,2
Seguridad,Alta,22,4,4,4,0.34,2
Seguridad,Alta,17,4,7,0,0.43,2
Tránsito,Media,3,2,3,6,0.83,2
Incendio,Alta,13,5,1,2,0.62,2
Iluminación,Baja,16,0,2,4,0.84,1
Tránsito,Media,17,0,8,1,0.21,2
Incendio,Media,1,6,6,4,0.65,2
Incendio,Baja,2,4,0,0,0.22,0
Seguridad,Alta,17,1,6,3,0.36,2
Bache,Media,17,3,0,3,0.67,1
Seguridad,Media,0,5,3,4,0.32,2
Iluminación,Media,0,2,7,1,0.85,2
Incendio,Alta,12,6,6,4,0.61,2
Iluminación,Alta,3,3,6,4,0.13,2
Seguridad,Alta,1,0,3,3,0.19,2
Residuos,Baja,19,6,4,4,0.33,2
Bache,Media,0,2,0,3,0.5,1
Seguridad,Baja,11,3,8,2,0.52,2
Residuos,Alta,1,0,6,2,0.82,2
Incendio,Alta,21,1,3,0,0.14,2
Seguridad,Media,5,4,8,4,0.76,2
Iluminación,Alta,9,3,3,5,0.37,2
Bache,Media,13,0,4,0,0.75,2
Incendio,Baja,15,4,5,4,0.54,2
Bache,Media,22,4,8,2,0.74,2
Iluminación,Alta,10,3,1,2,0.16,1
Seguridad,Alta,18,1,6,6,0.69,2
Iluminación,Media,2,3,4,0,0.9,1
Tránsito,Baja,11,2,7,2,0.2,2
Seguridad,Baja,0,0,4,2,0.93,1
Iluminación,Alta,1,1,8,0,0.01,2
Bache,Alta,2,1,6,5,0.16,2
Incendio,Baja,21,1,4,1,0.7,1
Iluminación,Baja,8,6,7,4,0.21,2
Tránsito,Baja,10,0,4,1,0.4,1
Seguridad,Media,10,3,5,1,0.19,2
Tránsito,Baja,3,2,5,2,0.8,2
Seguridad,Media,13,2,6,4,0.49,2
Iluminación,Alta,21,3,6,4,0.16,2
Residuos,Media,13,5,4,0,1.0,1
Seguridad,Alta,11,1,6,1,0.92,2
Bache,Media,12,3,7,0,0.44,1
Iluminación,Media,20,5,6,0,0.36,2
Seguridad,Baja,1,0,0,6,0.02,1
Incendio,Alta,1,2,4,0,0.81,2
Tránsito,Alta,3,3,4,1,0.5,2
Bache,Baja,3,1,1,4,0.75,2
